State,State Code,Mother's Education,Mother's Education Code,Deaths,Births
Virginia,51,High school graduate or GED completed,3,198,26355
Virginia,51,"Some college credit, but not a degree",4,129,18057
Virginia,51,"Associate degree (AA, AS)",5,40,7079
Virginia,51,"Bachelor's degree (BA, AB, BS)",6,74,22427
Virginia,51,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,43,12733
Washington,53,9th through 12th grade with no diploma,2,45,7532
Washington,53,High school graduate or GED completed,3,95,18739
Washington,53,"Some college credit, but not a degree",4,74,19479
Washington,53,"Associate degree (AA, AS)",5,35,8512
Washington,53,"Bachelor's degree (BA, AB, BS)",6,42,18820
West Virginia,54,High school graduate or GED completed,3,51,5989
West Virginia,54,"Some college credit, but not a degree",4,33,4111
Wisconsin,55,9th through 12th grade with no diploma,2,53,4477
Wisconsin,55,High school graduate or GED completed,3,144,15976
Wisconsin,55,"Some college credit, but not a degree",4,71,11901
Wisconsin,55,"Associate degree (AA, AS)",5,34,7227
Wisconsin,55,"Bachelor's degree (BA, AB, BS)",6,48,15763
Wisconsin,55,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,27,5338
